"","a1","a2","a3","a4","a5","a6","s1","s2","s3","s4","s5","s6","c1","c2","c3","c4","c5","c6","scas1","scas2","scas3","scas4","scas5","scas6","swls"
"a1",1,0.538293240632963,0.591903976251785,0.432494785074493,0.325166122892028,0.609432314660806,0.254891851711754,0.302110620497388,0.308484480691511,0.319703120460504,0.253139245372675,0.297238125459662,0.265290338315667,0.25878927234576,0.176098224975772,0.25684412371477,0.25490980023493,0.238451502240536,0.286167086506432,0.27992404345448,0.196313765945491,0.125672629845635,0.362999915988505,0.272679860792148,-0.432194938482728
"a2",0.538293240632963,1,0.479434948359555,0.491368634221041,0.363377782238905,0.408110483448404,0.218068962811829,0.293124601697432,0.21105457983354,0.300184149820024,0.286259734663676,0.244214530398858,0.302838501358849,0.20589745282833,0.198475807047169,0.236532143085196,0.262099355692426,0.204055395966769,0.278216506260783,0.297012989897086,0.191318377599078,0.177565382494263,0.274635675346459,0.190645178582048,-0.370900530943297
"a3",0.591903976251785,0.479434948359555,1,0.456987102779678,0.334314815262104,0.617808156585552,0.277721058098543,0.25059447512114,0.266787886363061,0.274859122071447,0.228638839452132,0.280578618187214,0.243800187815381,0.314688066966349,0.167435828035576,0.242594154701181,0.233151911909556,0.241753062322143,0.263750898325615,0.191396119917534,0.274716176995885,0.165165562978777,0.251394017400508,0.216240121881098,-0.375208876342914
"a4",0.432494785074493,0.491368634221041,0.456987102779678,1,0.533393366354477,0.500569650226775,0.18273216061431,0.335455354197761,0.184672249622447,0.313101630365344,0.326336797057976,0.22732529012091,0.242784607260832,0.14651818418611,0.129660653977229,0.155936189996224,0.163123692003627,0.198448818255239,0.251040320774852,0.240568616142038,0.14950086738508,0.197011995665461,0.303909612808793,0.269792155874947,-0.359036558195959
"a5",0.325166122892028,0.363377782238905,0.334314815262104,0.533393366354477,1,0.419457661060393,0.183082597936623,0.284684170088798,0.152379297073556,0.237042305784203,0.190178523254728,0.136379117261193,0.252245655980197,0.113217230850738,0.142687225825108,0.165130981061669,0.14412645077157,0.153011287170902,0.170496254510503,0.244958181922401,0.0880951621528222,0.194723059318399,0.329040967301085,0.296926436795803,-0.249037940911473
"a6",0.609432314660806,0.408110483448404,0.617808156585552,0.500569650226775,0.419457661060393,1,0.284729958633956,0.376305192711169,0.316856516710589,0.349579528746507,0.269123216757363,0.306636946192341,0.36516390187222,0.33931289972261,0.249960372245578,0.334877426864552,0.273587887299528,0.28581391457502,0.368976720258965,0.315815530439026,0.218711967168035,0.201718170810721,0.392173106146564,0.341999315079012,-0.482541055708769
"s1",0.254891851711754,0.218068962811829,0.277721058098543,0.18273216061431,0.183082597936623,0.284729958633956,1,0.398513271343062,0.429106553113067,0.34362314171306,0.358857621550764,0.523370287719608,0.236079231737404,0.256637600071317,0.105455381863241,0.266818065759225,0.19627020791793,0.188856965322043,0.304335670558374,0.249838816224929,0.158773960603337,0.113323166100234,0.252597965867669,0.214359083902985,-0.373488102398821
"s2",0.302110620497388,0.293124601697432,0.25059447512114,0.335455354197761,0.284684170088798,0.376305192711169,0.398513271343062,1,0.382591641156005,0.510333906592547,0.615927038017152,0.381960247130701,0.345708733499007,0.240754893734939,0.31912923635249,0.320981262755149,0.262142270140266,0.283406217318865,0.336889563083363,0.384471918206773,0.18768136702259,0.266945460716964,0.354276525394842,0.383913815205475,-0.373424047348663
"s3",0.308484480691511,0.21105457983354,0.266787886363061,0.184672249622447,0.152379297073556,0.316856516710589,0.429106553113067,0.382591641156005,1,0.474526316474402,0.366533207819178,0.527161867896995,0.244633092452952,0.282077841993703,0.139375376454105,0.242619175233601,0.241216910600227,0.191066300294663,0.37409418990534,0.307019256601733,0.258827676845341,0.120846982170385,0.249803440499868,0.21834006884359,-0.422337097021718
"s4",0.319703120460504,0.300184149820024,0.274859122071447,0.313101630365344,0.237042305784203,0.349579528746507,0.34362314171306,0.510333906592547,0.474526316474402,1,0.536351717574042,0.443831977272254,0.410169863311807,0.375675065368579,0.27646908189869,0.28671270293061,0.357827693217824,0.370464184426637,0.36033637570339,0.417617298408241,0.272404492817757,0.275374936220932,0.36412506019021,0.402911569515539,-0.482865072749547
