"a1";"a2";"a3";"a4";"a5";"a6";"s1";"s2";"s3";"s4";"s5";"s6";"c1";"c2";"c3";"c4";"c5";"c6"
"a1";0;0.048;0.019;-0.071;-0.082;0.023;0.201;0.278;0.299;0.323;0.239;0.248;0.293;0.212;0.201;0.241;0.232;0.254
"a2";0.048;0;-0.007;0.079;0.025;-0.097;0.193;0.302;0.229;0.339;0.303;0.228;0.374;0.189;0.253;0.249;0.267;0.243
"a3";0.019;-0.007;0;-0.047;-0.078;0.037;0.244;0.257;0.287;0.309;0.24;0.26;0.299;0.287;0.212;0.253;0.236;0.286
"a4";-0.071;0.079;-0.047;0;0.238;-0.011;0.178;0.38;0.22;0.389;0.379;0.233;0.33;0.148;0.182;0.18;0.182;0.26
"a5";-0.082;0.025;-0.078;0.238;0;0.011;0.178;0.324;0.182;0.296;0.222;0.14;0.344;0.115;0.2;0.191;0.162;0.201
"a6";0.023;-0.097;0.037;-0.011;0.011;0;0.254;0.391;0.346;0.399;0.287;0.289;0.455;0.314;0.321;0.355;0.281;0.343
"s1";0.201;0.193;0.244;0.178;0.178;0.254;0;-0.015;0.048;-0.07;-0.051;0.104;0.241;0.194;0.111;0.231;0.165;0.185
"s2";0.278;0.302;0.257;0.38;0.324;0.391;-0.015;0;-0.069;0.012;0.12;-0.073;0.411;0.212;0.391;0.324;0.256;0.324
"s3";0.299;0.229;0.287;0.22;0.182;0.346;0.048;-0.069;0;0.028;-0.088;0.103;0.305;0.262;0.179;0.258;0.248;0.23
"s4";0.323;0.339;0.309;0.389;0.296;0.399;-0.07;0.012;0.028;0;0.041;-0.021;0.535;0.364;0.371;0.318;0.384;0.465
"s5";0.239;0.303;0.24;0.379;0.222;0.287;-0.051;0.12;-0.088;0.041;0;-0.061;0.41;0.247;0.309;0.247;0.251;0.345
"s6";0.248;0.228;0.26;0.233;0.14;0.289;0.104;-0.073;0.103;-0.021;-0.061;0;0.216;0.187;0.119;0.241;0.196;0.198
"c1";0.293;0.374;0.299;0.33;0.344;0.455;0.241;0.411;0.305;0.535;0.41;0.216;0;-0.018;0.161;0.023;-0.079;0.04
"c2";0.212;0.189;0.287;0.148;0.115;0.314;0.194;0.212;0.262;0.364;0.247;0.187;-0.018;0;-0.055;0.012;0.03;-0.015
"c3";0.201;0.253;0.212;0.182;0.2;0.321;0.111;0.391;0.179;0.371;0.309;0.119;0.161;-0.055;0;-0.032;-0.054;0.031
"c4";0.241;0.249;0.253;0.18;0.191;0.355;0.231;0.324;0.258;0.318;0.247;0.241;0.023;0.012;-0.032;0;0.038;-0.076
"c5";0.232;0.267;0.236;0.182;0.162;0.281;0.165;0.256;0.248;0.384;0.251;0.196;-0.079;0.03;-0.054;0.038;0;0.026
"c6";0.254;0.243;0.286;0.26;0.201;0.343;0.185;0.324;0.23;0.465;0.345;0.198;0.04;-0.015;0.031;-0.076;0.026;0
