"a1";"a3";"a6";"a2";"a4";"a5";"s1";"s3";"s6";"s2";"s4";"s5";"c2";"c4";"c5";"c1";"c3";"c6";"swls"
"a1";0;0.012;-0.01;0.124;-0.046;-0.056;-0.003;0.032;-0.008;0.013;0.033;-0.034;-0.002;-0.002;-0.032;-0.01;-0.039;-0.028;0.014
"a3";0.012;0;0.001;0.078;-0.019;-0.049;0.018;-0.008;-0.022;-0.037;-0.012;-0.062;0.05;-0.015;-0.056;-0.036;-0.053;-0.025;-0.107
"a6";-0.01;0.001;0;-0.029;-0.007;0.021;0.009;0.026;-0.018;0.073;0.05;-0.042;0.057;0.063;-0.036;0.091;0.033;0.005;0.069
"a2";0.124;0.078;-0.029;0;-0.028;-0.054;0.043;0.033;0.04;0.016;0.026;0.007;0.043;0.083;0.087;0.11;0.044;-0.002;0.121
"a4";-0.046;-0.019;-0.007;-0.028;0;0.074;-0.014;-0.031;-0.007;0.014;-0.012;0.001;-0.04;-0.032;-0.048;-0.008;-0.086;-0.054;-0.026
"a5";-0.056;-0.049;0.021;-0.054;0.074;0;0.025;-0.018;-0.051;0.032;-0.024;-0.08;-0.035;0.022;-0.022;0.074;-0.013;-0.049;-0.111
"s1";-0.003;0.018;0.009;0.043;-0.014;0.025;0;-0.019;0.018;0.033;-0.015;-0.003;0.035;0.051;-0.031;0.054;-0.036;0.013;-0.05
"s3";0.032;-0.008;0.026;0.033;-0.031;-0.018;-0.019;0;-0.006;-0.001;0.104;-0.021;0.054;0.022;-0.008;0.062;-0.013;0.004;-0.011
"s6";-0.008;-0.022;-0.018;0.04;-0.007;-0.051;0.018;-0.006;0;-0.04;0.017;-0.03;-0.013;0.016;-0.049;-0.017;-0.065;-0.018;0.038
"s2";0.013;-0.037;0.073;0.016;0.014;0.032;0.033;-0.001;-0.04;0;-0.045;0.061;-0.032;0.047;-0.044;-0.005;0.062;-0.061;-0.101
"s4";0.033;-0.012;0.05;0.026;-0.012;-0.024;-0.015;0.104;0.017;-0.045;0;-0.021;0.096;0.014;0.055;0.079;0.011;0.043;0.152
"s5";-0.034;-0.062;-0.042;0.007;0.001;-0.08;-0.003;-0.021;-0.03;0.061;-0.021;0;-0.006;-0.038;-0.059;-0.019;-0.031;-0.053;-0.037
"c2";-0.002;0.05;0.057;0.043;-0.04;-0.035;0.035;0.054;-0.013;-0.032;0.096;-0.006;0;-0.022;0.005;-0.01;-0.052;0.023;0.016
"c4";-0.002;-0.015;0.063;0.083;-0.032;0.022;0.051;0.022;0.016;0.047;0.014;-0.038;-0.022;0;0.011;0.034;-0.026;-0.031;0.014
"c5";-0.032;-0.056;-0.036;0.087;-0.048;-0.022;-0.031;-0.008;-0.049;-0.044;0.055;-0.059;0.005;0.011;0;-0.05;-0.034;0.091;-0.021
"c1";-0.01;-0.036;0.091;0.11;-0.008;0.074;0.054;0.062;-0.017;-0.005;0.079;-0.019;-0.01;0.034;-0.05;0;0.067;-0.024;0.026
"c3";-0.039;-0.053;0.033;0.044;-0.086;-0.013;-0.036;-0.013;-0.065;0.062;0.011;-0.031;-0.052;-0.026;-0.034;0.067;0;-0.023;-0.049
"c6";-0.028;-0.025;0.005;-0.002;-0.054;-0.049;0.013;0.004;-0.018;-0.061;0.043;-0.053;0.023;-0.031;0.091;-0.024;-0.023;0;-0.002
"swls";0.014;-0.107;0.069;0.121;-0.026;-0.111;-0.05;-0.011;0.038;-0.101;0.152;-0.037;0.016;0.014;-0.021;0.026;-0.049;-0.002;0
